,links
0,http://profit.ndtv.com/stock/reliance-industries-ltd_reliance
1,http://profit.ndtv.com/stock/tata-consultancy-services-ltd_tcs
2,http://profit.ndtv.com/stock/hdfc-bank-ltd_hdfcbank
3,http://profit.ndtv.com/stock/itc-ltd_itc
4,http://profit.ndtv.com/stock/hindustan-unilever-ltd_hindunilvr
5,http://profit.ndtv.com/stock/maruti-suzuki-india-ltd_maruti
6,http://profit.ndtv.com/stock/state-bank-of-india_sbin
7,http://profit.ndtv.com/stock/housing-development-finance-corporation-ltd_hdfc
8,http://profit.ndtv.com/stock/oil-&-natural-gas-corporation-ltd_ongc
9,http://profit.ndtv.com/stock/infosys-ltd_infy
10,http://profit.ndtv.com/stock/bharti-airtel-ltd_bhartiartl
11,http://profit.ndtv.com/stock/icici-bank-ltd_icicibank
12,http://profit.ndtv.com/stock/indian-oil-corporation-ltd_ioc
13,http://profit.ndtv.com/stock/kotak-mahindra-bank-ltd_kotakbank
14,http://profit.ndtv.com/stock/larsen-&-toubro-ltd_lt
15,http://profit.ndtv.com/stock/coal-india-ltd_coalindia
16,http://profit.ndtv.com/stock/ntpc-ltd_ntpc
17,http://profit.ndtv.com/stock/wipro-ltd_wipro
18,http://profit.ndtv.com/stock/axis-bank-ltd_axisbank
19,http://profit.ndtv.com/stock/sun-pharmaceutical-industries-ltd_sunpharma
20,http://profit.ndtv.com/stock/hcl-technologies-ltd_hcltech
21,http://profit.ndtv.com/stock/tata-motors-ltd_tatamotors
22,http://profit.ndtv.com/stock/ultratech-cement-ltd_ultracemco
23,http://profit.ndtv.com/stock/vedanta-ltd_sesagoa
24,http://profit.ndtv.com/stock/bharat-petroleum-corporation-ltd_bpcl
25,http://profit.ndtv.com/stock/asian-paints-ltd_asianpaint
26,http://profit.ndtv.com/stock/power-grid-corporation-of-india-ltd_powergrid
27,http://profit.ndtv.com/stock/indusind-bank-ltd_indusindbk
28,http://profit.ndtv.com/stock/bajaj-finance-ltd_bajfinance
29,http://profit.ndtv.com/stock/bajaj-auto-ltd_bajaj-auto
30,http://profit.ndtv.com/stock/mahindra-&-mahindra-ltd_m&m
31,http://profit.ndtv.com/stock/adani-ports-and-special-economic-zone-ltd_adaniports
32,http://profit.ndtv.com/stock/gail-_gail
33,http://profit.ndtv.com/stock/eicher-motors-ltd_eichermot
34,http://profit.ndtv.com/stock/yes-bank-ltd_yesbank
35,http://profit.ndtv.com/stock/hero-motocorp-ltd_heromotoco
36,http://profit.ndtv.com/stock/tata-steel-ltd_tatasteel
37,http://profit.ndtv.com/stock/bharti-infratel-ltd_binfra
38,http://profit.ndtv.com/stock/hindustan-petroleum-corporation-ltd_hindpetro
39,http://profit.ndtv.com/stock/bosch-ltd_boschltd
40,http://profit.ndtv.com/stock/zee-entertainment-enterprises-ltd_zeel
41,http://profit.ndtv.com/stock/hindalco-industries-ltd_hindalco
42,http://profit.ndtv.com/stock/ambuja-cements-ltd_ambujacem
43,http://profit.ndtv.com/stock/indiabulls-housing-finance-ltd_ibulhsgfin
44,http://profit.ndtv.com/stock/tech-mahindra-ltd_techm
45,http://profit.ndtv.com/stock/cipla-ltd_cipla
46,http://profit.ndtv.com/stock/aurobindo-pharma-ltd_auropharma
47,http://profit.ndtv.com/stock/lupin-ltd_lupin
48,http://profit.ndtv.com/stock/dr-reddys-laboratories-ltd_drreddy
49,http://profit.ndtv.com/stock/upl-ltd_uniphos
